lam,r,g,b,a,c,l
648,4.188E-01,8.545E-05,5.153E-04,1.483E-01,0.000E+00,7.404E-02
649,3.644E-01,8.019E-05,5.376E-04,1.455E-01,0.000E+00,7.239E-02
650,3.159E-01,1.174E-04,5.613E-04,1.426E-01,0.000E+00,7.075E-02
651,2.713E-01,1.677E-04,5.887E-04,1.398E-01,0.000E+00,6.913E-02
652,2.304E-01,2.235E-04,6.203E-04,1.370E-01,0.000E+00,6.754E-02
653,1.938E-01,2.801E-04,6.565E-04,1.342E-01,0.000E+00,6.598E-02
654,1.638E-01,3.255E-04,7.143E-04,1.313E-01,0.000E+00,6.448E-02
655,1.381E-01,3.644E-04,7.719E-04,1.284E-01,0.000E+00,6.299E-02
656,1.162E-01,3.957E-04,8.214E-04,1.256E-01,0.000E+00,6.152E-02
657,9.773E-02,4.175E-04,8.559E-04,1.227E-01,0.000E+00,6.006E-02
658,8.214E-02,4.256E-04,8.485E-04,1.198E-01,0.000E+00,5.855E-02
659,6.914E-02,4.217E-04,8.196E-04,1.169E-01,1.279E-06,5.704E-02
660,5.840E-02,4.053E-04,7.720E-04,1.141E-01,0.000E+00,5.552E-02
661,4.952E-02,3.757E-04,7.077E-04,1.112E-01,0.000E+00,5.400E-02
662,4.172E-02,3.288E-04,6.205E-04,1.083E-01,0.000E+00,5.245E-02
663,3.521E-02,2.687E-04,5.230E-04,1.054E-01,0.000E+00,5.090E-02
664,2.981E-02,1.963E-04,4.204E-04,1.025E-01,0.000E+00,4.938E-02
665,2.534E-02,1.125E-04,3.179E-04,9.964E-02,0.000E+00,4.789E-02
666,2.136E-02,1.687E-06,2.278E-04,9.686E-02,0.000E+00,4.647E-02
667,1.801E-02,0.000E+00,1.451E-04,9.414E-02,0.000E+00,4.510E-02
668,1.522E-02,0.000E+00,7.155E-05,9.147E-02,0.000E+00,4.377E-02
669,1.289E-02,0.000E+00,9.284E-06,8.888E-02,0.000E+00,4.248E-02
670,1.083E-02,0.000E+00,0.000E+00,8.636E-02,0.000E+00,4.124E-02
671,9.108E-03,0.000E+00,0.000E+00,8.392E-02,0.000E+00,4.005E-02
672,7.675E-03,0.000E+00,0.000E+00,8.156E-02,0.000E+00,3.890E-02
673,6.490E-03,0.000E+00,0.000E+00,7.929E-02,0.000E+00,3.780E-02
674,5.481E-03,0.000E+00,0.000E+00,7.713E-02,0.000E+00,3.677E-02
675,4.647E-03,0.000E+00,0.000E+00,7.505E-02,0.000E+00,3.579E-02
